Company,Valuation ($B),Date Joined,Country,City ,Industry,Investors,Valuation BI,invest_1,invest_2,invest_3,invest_4,data_1,data_2,data_3,data_4
AIWAYS,$1.78,2018-04-16,China,Shanghai,Auto & transportation,"Jiangsu Sha Steel Group, Shanghai Puyin Industry, Funa Yuanchuang Technology",1.78,Jiangsu Sha Steel Group,Shanghai Puyin Industry,Funa Yuanchuang Technology,nan,Jiangsu Sha Steel Group,Shanghai Puyin Industry,Funa Yuanchuang Technology,
Trulioo,$1.75,2021-06-07,Canada,Vancouver,Cybersecurity,"Blumberg Capital, American Express Ventures, BDC Venture Capital",1.75,Blumberg Capital,American Express Ventures,BDC Venture Capital,nan,Blumberg Capital,American Express Ventures,BDC Venture Capital,
Spinny,$1.75,2021-11-24,India,Gurugram,E-commerce & direct-to-consumer,"General Catalyst, Eleation Capital, Avenir Growth Capital",1.75,General Catalyst,Eleation Capital,Avenir Growth Capital,nan,General Catalyst,Eleation Capital,Avenir Growth Capital,
Crusoe,$1.75,2022-04-21,United States,Denver,Internet software & services,"Bain Capital Ventures, Founders Fund, Winklevoss Capital",1.75,Bain Capital Ventures,Founders Fund,Winklevoss Capital,nan,Bain Capital Ventures,Founders Fund,Winklevoss Capital,
Orca Security,$1.80,2021-03-23,United States,Portland,Cybersecurity,"YL Ventures, Redpoint Ventures, GGV Capital",1.8,YL Ventures,Redpoint Ventures,GGV Capital,nan,YL Ventures,Redpoint Ventures,GGV Capital,
Apus Group,$1.73,2015-01-16,China,Beijing,Mobile & telecommunications,"Redpoint Ventures, QiMing Venture Partners, Chengwei Capital",1.73,Redpoint Ventures,QiMing Venture Partners,Chengwei Capital,nan,Redpoint Ventures,QiMing Venture Partners,Chengwei Capital,
AlphaSense,$1.70,2022-06-15,United States,New York,Artificial intelligence,"Viking Global Investors, GS Growth, BlackRock",1.7,Viking Global Investors,GS Growth,BlackRock,nan,Viking Global Investors,GS Growth,BlackRock,
Harry's,$1.70,2018-02-16,United States,New York,Consumer & retail,"Thrive Capital, Tiger Global Management, Temasek",1.7,Thrive Capital,Tiger Global Management,Temasek,nan,Thrive Capital,Tiger Global Management,Temasek,
PAX,$1.70,2018-10-22,United States,San Francisco,Consumer & retail,"Tao Capital Partners, Global Asset Capital, Tiger Global Management",1.7,Tao Capital Partners,Global Asset Capital,Tiger Global Management,nan,Tao Capital Partners,Global Asset Capital,Tiger Global Management,
DispatchHealth,$1.70,2021-03-03,United States,Denver,Health,"Alta Partners, Questa Capital, Echo Health Ventures",1.7,Alta Partners,Questa Capital,Echo Health Ventures,nan,Alta Partners,Questa Capital,Echo Health Ventures,
Saliogen Therapeutics,$1.70,2021-12-07,United States,Cambridge,Health,"PBM Capital Group, T. Rowe Price, D1 Capital Partners",1.7,PBM Capital Group,T. Rowe Price,D1 Capital Partners,nan,PBM Capital Group,T. Rowe Price,D1 Capital Partners,
Pax8,$1.70,2022-04-11,United States,Greenwood Village,Internet software & services,"Liberty Global Ventures, Sageview Capital, Blue Cloud Ventures",1.7,Liberty Global Ventures,Sageview Capital,Blue Cloud Ventures,nan,Liberty Global Ventures,Sageview Capital,Blue Cloud Ventures,
Multiverse,$1.70,2022-06-08,United Kingdom,London,Edtech,"Lightspeed Venture Partners, Google Ventures, General Catalyst",1.7,Lightspeed Venture Partners,Google Ventures,General Catalyst,nan,Lightspeed Venture Partners,Google Ventures,General Catalyst,
Front,$1.70,2022-06-28,United States,San Francisco,Internet software & services,"Sequoia Capital, Uncork Capital, Salesforce Ventures",1.7,Sequoia Capital,Uncork Capital,Salesforce Ventures,nan,Sequoia Capital,Uncork Capital,Salesforce Ventures,
Tessera Therapeutics,$1.69,2022-04-19,United States,Cambridge,Health,"Altitude Life Science Ventures, SoftBank Group, Alaska Permanent Fund",1.69,Altitude Life Science Ventures,SoftBank Group,Alaska Permanent Fund,nan,Altitude Life Science Ventures,SoftBank Group,Alaska Permanent Fund,
Unite Us,$1.60,2021-03-16,United States,New York,Health,"Insight Partners, Sequoia Capital, Index Ventures",1.6,Insight Partners,Sequoia Capital,Index Ventures,nan,Insight Partners,Sequoia Capital,Index Ventures,
CircleCI,$1.70,2021-05-11,United States,San Francisco,Internet software & services,"Threshold Ventures, Baseline Ventures, Harrison Metal",1.7,Threshold Ventures,Baseline Ventures,Harrison Metal,nan,Threshold Ventures,Baseline Ventures,Harrison Metal,
Wave,$1.70,2021-09-07,Senegal,Dakar,Fintech,"Stripe, Founders Fund, Partech Partners",1.7,Stripe,Founders Fund,Partech Partners,nan,Stripe,Founders Fund,Partech Partners,
Vestiaire Collective,$1.70,2021-03-01,France,Paris,E-commerce & direct-to-consumer,"Eurazeo, IDInvest Partners, Balderton Capital",1.7,Eurazeo,IDInvest Partners,Balderton Capital,nan,Eurazeo,IDInvest Partners,Balderton Capital,
Dragos,$1.70,2021-10-28,United States,Hanover,Cybersecurity,"DataTribe, Energy Impact Partners, AllegisCyber Capital",1.7,DataTribe,Energy Impact Partners,AllegisCyber Capital,nan,DataTribe,Energy Impact Partners,AllegisCyber Capital,
Reltio,$1.70,2021-11-04,United States,Redwood City,Data management & analytics,"Crosslink Capital, .406 Ventures, Sapphire Ventures",1.7,Crosslink Capital,.406 Ventures,Sapphire Ventures,nan,Crosslink Capital,.406 Ventures,Sapphire Ventures,
H2O.ai,$1.70,2021-11-07,United States,Mountain View,Artificial intelligence,"Nexus Venture Partners, Transamerica Ventures, Crane Venture Partners",1.7,Nexus Venture Partners,Transamerica Ventures,Crane Venture Partners,nan,Nexus Venture Partners,Transamerica Ventures,Crane Venture Partners,
ZenBusiness,$1.70,2021-11-09,United States,Austin,Fintech,"Greycroft, Lerer Hippeau, Geekdom Fund",1.7,Greycroft,Lerer Hippeau,Geekdom Fund,nan,Greycroft,Lerer Hippeau,Geekdom Fund,
Carsome,$1.70,2021-07-12,Malaysia,Selangor,E-commerce & direct-to-consumer,"Gobi Partners, 500 Startups, Ondine Capital",1.7,Gobi Partners,500 Startups,Ondine Capital,nan,Gobi Partners,500 Startups,Ondine Capital,
Productboard,$1.70,2022-02-02,United States,San Francisco,Internet software & services,"Index Ventures, Kleiner Perkins Caufield & Byers, Bessemer Venture Partners",1.7,Index Ventures,Kleiner Perkins Caufield & Byers,Bessemer Venture Partners,nan,Index Ventures,Kleiner Perkins Caufield & Byers,Bessemer Venture Partners,
Spotter,$1.70,2022-02-16,United States,Los Angeles,Fintech,"SoftBank Group, Access Industries, Crossbeam Venture Partners",1.7,SoftBank Group,Access Industries,Crossbeam Venture Partners,nan,SoftBank Group,Access Industries,Crossbeam Venture Partners,
Optimism,$1.65,2022-03-17,United States,San Francisco,Internet software & services,"Paradigm, Huobi Ventures, Andreessen Horowitz",1.65,Paradigm,Huobi Ventures,Andreessen Horowitz,nan,Paradigm,Huobi Ventures,Andreessen Horowitz,
Incredible Health,$1.65,2022-08-17,United States,San Francisco,Internet software & services,"Obvious Ventures, Andreessen Horowitz, NFX",1.65,Obvious Ventures,Andreessen Horowitz,NFX,nan,Obvious Ventures,Andreessen Horowitz,NFX,
Jusfoun Big Data,$1.62,2018-07-09,China,Beijing,Data management & analytics,"Boxin Capital, DT Capital Partners, IDG Capital",1.62,Boxin Capital,DT Capital Partners,IDG Capital,nan,Boxin Capital,DT Capital Partners,IDG Capital,
Transcarent,$1.62,2022-01-11,United States,San Francisco,Health,"Alta Partners, General Catalyst, Jove Equity Partners",1.62,Alta Partners,General Catalyst,Jove Equity Partners,nan,Alta Partners,General Catalyst,Jove Equity Partners,
DealShare,$1.70,2022-01-27,India,Bengaluru,E-commerce & direct-to-consumer,"Alpha Wave Global, Matrix Partners India, Tiger Global Management",1.7,Alpha Wave Global,Matrix Partners India,Tiger Global Management,nan,Alpha Wave Global,Matrix Partners India,Tiger Global Management,
Zhubajie,$1.61,2015-06-16,China,Chongqing,Internet software & services,"Cybernaut Growth Fund, IDG Capital",1.61,Cybernaut Growth Fund,IDG Capital,nan,nan,Cybernaut Growth Fund,IDG Capital,,
solarisBank,$1.65,2021-07-13,Germany,Berlin,Fintech,"Yabeo Capital, SBI Investment, Vulcan Capital",1.65,Yabeo Capital,SBI Investment,Vulcan Capital,nan,Yabeo Capital,SBI Investment,Vulcan Capital,
DataStax,$1.60,2021-05-26,United States,Santa Clara,Data management & analytics,"Crosslink Capital, Meritech Capital Partners, Lightspeed Venture Partners",1.6,Crosslink Capital,Meritech Capital Partners,Lightspeed Venture Partners,nan,Crosslink Capital,Meritech Capital Partners,Lightspeed Venture Partners,
Infinidat,$1.60,2015-04-29,United States,Waltham,Hardware,"TPG Growth, Goldman Sachs",1.6,TPG Growth,Goldman Sachs,nan,nan,TPG Growth,Goldman Sachs,,
Afiniti,$1.60,2017-04-14,Bermuda,Hamilton,Artificial intelligence,GAM Holding,1.6,GAM Holding,nan,nan,nan,GAM Holding,,,
Cao Cao Mobility,$1.60,2018-01-17,China,Hangzhou,Auto & transportation,"People Electrical Appliance Group China, Zhongrong International Trust",1.6,People Electrical Appliance Group China,Zhongrong International Trust,nan,nan,People Electrical Appliance Group China,Zhongrong International Trust,,
Verkada,$1.60,2020-01-29,United States,San Mateo,Cybersecurity,"next47, First Round Capital, Sequoia Capital",1.6,next47,First Round Capital,Sequoia Capital,nan,next47,First Round Capital,Sequoia Capital,
Clari,$2.60,2021-03-03,United States,Sunnyvale,Internet software & services,"Sequoia Capital, Bain Capital Ventures, enaya Capital",2.6,Sequoia Capital,Bain Capital Ventures,enaya Capital,nan,Sequoia Capital,Bain Capital Ventures,enaya Capital,
Tonal,$1.60,2021-03-31,United States,San Francisco,E-commerce & direct-to-consumer,"Mayfield Fund, Shasta Ventures, L Catterton",1.6,Mayfield Fund,Shasta Ventures,L Catterton,nan,Mayfield Fund,Shasta Ventures,L Catterton,
Clio,$1.60,2021-04-27,Canada,Burnaby,Internet software & services,"OMERS Private Equity, T. Rowe Price, Technology Crossover Ventures",1.6,OMERS Private Equity,T. Rowe Price,Technology Crossover Ventures,nan,OMERS Private Equity,T. Rowe Price,Technology Crossover Ventures,
SafetyCulture,$1.60,2021-05-03,Australia,Sydney,Internet software & services,"Blackbird Ventures, IndexVentures, Tiger Global Management",1.6,Blackbird Ventures,IndexVentures,Tiger Global Management,nan,Blackbird Ventures,IndexVentures,Tiger Global Management,
Monte Carlo,$1.60,2022-05-24,United States,San Francisco,Artificial intelligence,"GGV Capital, Accel, Redpoint Ventures",1.6,GGV Capital,Accel,Redpoint Ventures,nan,GGV Capital,Accel,Redpoint Ventures,
Cresta,$1.60,2022-03-17,United States,San Francisco,Artificial Intelligence,"Andreessen Horowitz, Greylock Partners, Sequoia Capital",1.6,Andreessen Horowitz,Greylock Partners,Sequoia Capital,nan,Andreessen Horowitz,Greylock Partners,Sequoia Capital,
Extend,$1.36,2021-05-18,United States,San Francisco,Fintech,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",1.36,GreatPoint Ventures,Meritech Capital Partners,PayPal Ventures,nan,GreatPoint Ventures,Meritech Capital Partners,PayPal Ventures,
Generate Biomedicines,$1.36,2021-11-18,United States,Cambridge,Health,"Altitude Life Science Ventures. T. Rowe Price, Morningside Venture Partners",1.36,Altitude Life Science Ventures. T. Rowe Price,Morningside Venture Partners,nan,nan,Altitude Life Science Ventures. T. Rowe Price,Morningside Venture Partners,,
Cognite,$1.50,2021-05-19,Norway,Lysaker,Data management & analytics,"Technology Crossover Ventures, Accel, Aker",1.5,Technology Crossover Ventures,Accel,Aker,nan,Technology Crossover Ventures,Accel,Aker,
ASAPP,$1.60,2021-05-19,United States,New York,Artificial intelligence,"March Capital Partners, HOF Capital, Emergence Capital Partners",1.6,March Capital Partners,HOF Capital,Emergence Capital Partners,nan,March Capital Partners,HOF Capital,Emergence Capital Partners,
SmartHR,$1.60,2021-06-08,Japan,Tokyo,Fintech,"BEENEXT, World Innovation Lab, Light Street Capital",1.6,BEENEXT,World Innovation Lab,Light Street Capital,nan,BEENEXT,World Innovation Lab,Light Street Capital,
Mercury,$1.60,2021-07-03,United States,San Francisco,Fintech,"Andreessen Horowitz, Coatue Management, Clocktower Technology Ventures",1.6,Andreessen Horowitz,Coatue Management,Clocktower Technology Ventures,nan,Andreessen Horowitz,Coatue Management,Clocktower Technology Ventures,
HomeLight,$1.70,2021-09-02,United States,San Francisco,Fintech,"Zeev Ventures, Menlo Ventures,Crosslink Capital",1.7,Zeev Ventures,Menlo Ventures,Crosslink Capital,nan,Zeev Ventures,Menlo Ventures,Crosslink Capital,
Truepill,$1.60,2021-10-27,United States,Hayward,Health,"Initialized Capital, Sound Ventures, TI Platform Management",1.6,Initialized Capital,Sound Ventures,TI Platform Management,nan,Initialized Capital,Sound Ventures,TI Platform Management,
ezCater,$1.60,2019-04-02,United States,Boston,"Supply chain, logistics, & delivery","Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group",1.6,Insight Venture Partners,ICONIQ Capital,Launchpad Venture Group,nan,Insight Venture Partners,ICONIQ Capital,Launchpad Venture Group,
Wayflyer,$1.60,2022-02-01,Ireland,Dublin,Fintech,"QED Investors, DST Global, Left Lane Capital",1.6,QED Investors,DST Global,Left Lane Capital,nan,QED Investors,DST Global,Left Lane Capital,
Capitolis,$1.60,2022-03-22,United States,New York,Fintech,"Sequoia Capital, Index Ventures, S Capital",1.6,Sequoia Capital,Index Ventures,S Capital,nan,Sequoia Capital,Index Ventures,S Capital,
Nord Security,$1.60,2022-04-07,Lithuania,Vilnius,Cybersecurity,"General Catalyst, BaltCap, Novator Partners",1.6,General Catalyst,BaltCap,Novator Partners,nan,General Catalyst,BaltCap,Novator Partners,
Vanta,$1.60,2022-06-07,United States,San Francisco,Cybersecurity,"Craft Ventures, Sequoia Capital, Verissimo Ventures",1.6,Craft Ventures,Sequoia Capital,Verissimo Ventures,nan,Craft Ventures,Sequoia Capital,Verissimo Ventures,
Magic Eden,$1.60,2022-06-21,United States,San Francisco,Fintech,"Sequoia Capital, Lightspeed Venture Partners, Paradigm",1.6,Sequoia Capital,Lightspeed Venture Partners,Paradigm,nan,Sequoia Capital,Lightspeed Venture Partners,Paradigm,
Pave,$1.60,2022-06-28,United States,San Francisco,Internet software & services,"Y Combinator, 	Andreessen Horowitz, Bessemer Venture Partners",1.6,Y Combinator,	Andreessen Horowitz,Bessemer Venture Partners,nan,Y Combinator,	Andreessen Horowitz,Bessemer Venture Partners,
Promasidor Holdings,$1.59,2016-11-08,South Africa,Bryanston,Consumer & retail,"IFC, Ajinomoto",1.59,IFC,Ajinomoto,nan,nan,IFC,Ajinomoto,,
ICON 3D,$1.57,2022-02-18,United States,Austin,Hardware,"Moderne Ventures, Oakhouse Partners, Bjarke Ingels Group",1.57,Moderne Ventures,Oakhouse Partners,Bjarke Ingels Group,nan,Moderne Ventures,Oakhouse Partners,Bjarke Ingels Group,
Baiwang,$1.55,2019-03-25,China,Beijing,Fintech,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",1.55,Guozhong Venture Capital Management,Shenzhen Capital Group,Oriental Fortune Capital,nan,Guozhong Venture Capital Management,Shenzhen Capital Group,Oriental Fortune Capital,
Iluvatar CoreX,$1.55,2021-03-01,China,Shanghai,Hardware,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",1.55,Centurium Capital,Cedarlake Capital,Unicom Innovation Venture Capital,nan,Centurium Capital,Cedarlake Capital,Unicom Innovation Venture Capital,
Wenheyou,$1.55,2021-04-17,China,Hunan,Other,"Sequoia Capital China, Warburg Pincus, IDG Capital",1.55,Sequoia Capital China,Warburg Pincus,IDG Capital,nan,Sequoia Capital China,Warburg Pincus,IDG Capital,
Kitopi,$1.55,2021-07-01,United Arab Emirates,Dubai,"Supply chain, logistics, & delivery","CE-Ventures, BECO Capital, Nordstar",1.55,CE-Ventures,BECO Capital,Nordstar,nan,CE-Ventures,BECO Capital,Nordstar,
Loom,$1.53,2021-05-20,United States,San Francisco,Internet software & services,"Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst",1.53,Kleiner Perkins Caufield & Byers,Sequoia Capital,General Catalyst,nan,Kleiner Perkins Caufield & Byers,Sequoia Capital,General Catalyst,
Ximalaya FM,$1.52,2017-09-22,China,Shanghai,Mobile & telecommunications,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",1.52,China Creation Ventures,Sierra Ventures,Xingwang Investment Management,nan,China Creation Ventures,Sierra Ventures,Xingwang Investment Management,
Carzone,$1.52,2019-03-01,China,Jiangsu,E-commerce & direct-to-consumer,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",1.52,Alibaba Group,Co-Stone Venture Capital,Buhuo Venture Capital,nan,Alibaba Group,Co-Stone Venture Capital,Buhuo Venture Capital,
Gokin Solar,$1.51,2022-04-13,China,Zhuhai,Other,"IDG Capital, Puluo Capital, Midea Capital",1.51,IDG Capital,Puluo Capital,Midea Capital,nan,IDG Capital,Puluo Capital,Midea Capital,
Mu Sigma,$1.50,2013-02-07,United States,Northbrook,Data management & analytics,"Sequoia Capital, General Atlantic",1.5,Sequoia Capital,General Atlantic,nan,nan,Sequoia Capital,General Atlantic,,
Kushki,$1.50,2022-06-07,Ecuador,Quito,Fintech,"Clocktower Technology Ventures, DILA Capital, Kaszek Ventures",1.5,Clocktower Technology Ventures,DILA Capital,Kaszek Ventures,nan,Clocktower Technology Ventures,DILA Capital,Kaszek Ventures,
Orna Therapeutics,$1.50,2022-08-16,United States,Cambridge,Health,"MPM Capital, Astellas Venture Management, F2 Ventures",1.5,MPM Capital,Astellas Venture Management,F2 Ventures,nan,MPM Capital,Astellas Venture Management,F2 Ventures,
TuJia,$1.50,2015-06-17,China,Beijing,Travel,"GGV Capital, QiMing Venture Partnersl",1.5,GGV Capital,QiMing Venture Partnersl,nan,nan,GGV Capital,QiMing Venture Partnersl,,
Mofang Living,$1.50,2016-04-13,China,Shanghai,E-commerce & direct-to-consumer,"Warburg Pincus, Aviation Industry Corporation of China",1.5,Warburg Pincus,Aviation Industry Corporation of China,nan,nan,Warburg Pincus,Aviation Industry Corporation of China,,
Gett,$1.50,2016-05-24,United Kingdom,London,Auto & transportation,"Volkswagen, Access Industries, Vostok New Ventures",1.5,Volkswagen,Access Industries,Vostok New Ventures,nan,Volkswagen,Access Industries,Vostok New Ventures,
DT Dream,$1.50,2017-06-08,China,Hangzhou,Data management & analytics,"Alibaba Group, China Everbright Investment Management, Yinxinggu Capital",1.5,Alibaba Group,China Everbright Investment Management,Yinxinggu Capital,nan,Alibaba Group,China Everbright Investment Management,Yinxinggu Capital,
Changingedu,$1.50,2017-10-30,China,Shanghai,Edtech,"Trustbridge Partners, IDG Capital, Sequoia Capital China",1.5,Trustbridge Partners,IDG Capital,Sequoia Capital China,nan,Trustbridge Partners,IDG Capital,Sequoia Capital China,
XiaoZhu,$1.50,2017-11-01,China,Beijing,Travel,"Morningside Ventures, Capital Today, JOY Capital",1.5,Morningside Ventures,Capital Today,JOY Capital,nan,Morningside Ventures,Capital Today,JOY Capital,
JOLLY Information Technology,$1.50,2018-05-29,China,Hangzhou,E-commerce & direct-to-consumer,"Legend Capital, CDH Investments, Sequoia Capital China",1.5,Legend Capital,CDH Investments,Sequoia Capital China,nan,Legend Capital,CDH Investments,Sequoia Capital China,
Yijiupi,$1.50,2018-09-20,China,Beijing,Consumer & retail,"Source Code Capital, Meituan Dianping, Tencent Holdings",1.5,Source Code Capital,Meituan Dianping,Tencent Holdings,nan,Source Code Capital,Meituan Dianping,Tencent Holdings,
Cambridge Mobile Telematics,$1.50,2018-12-19,United States,Cambridge,Auto & transportation,SoftBank Group,1.5,SoftBank Group,nan,nan,nan,SoftBank Group,,,
Collective Health,$1.50,2019-06-17,United States,San Francisco,Fintech,"New Enterprise Associates, Founders Fund, Google Ventures",1.5,New Enterprise Associates,Founders Fund,Google Ventures,nan,New Enterprise Associates,Founders Fund,Google Ventures,
Strava,$1.50,2020-11-16,United States,San Francisco,Internet software & services,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",1.5,Jackson Square Ventures,Madrone Capital Partners,Sequoia Capital,nan,Jackson Square Ventures,Madrone Capital Partners,Sequoia Capital,
Zenoti,$1.50,2020-12-15,United States,Bellevue,Internet software & services,"Norwest Venture Partners, Accel, Tiger Global Management",1.5,Norwest Venture Partners,Accel,Tiger Global Management,nan,Norwest Venture Partners,Accel,Tiger Global Management,
K Health,$1.50,2021-01-19,United States,New York,Health,"Max Ventures, Mangrove Capital Partners, 14W",1.5,Max Ventures,Mangrove Capital Partners,14W,nan,Max Ventures,Mangrove Capital Partners,14W,
Uplight,$1.50,2021-03-03,United States,Boulder,Other,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners",1.5,Rubicon Technology Partners,Max Ventures,Inclusive Capital Partners,nan,Rubicon Technology Partners,Max Ventures,Inclusive Capital Partners,
ID.me,$1.50,2021-03-19,United States,McLean,Cybersecurity,"Moonshots Capital, BoxGroup, Blu Venture Investors",1.5,Moonshots Capital,BoxGroup,Blu Venture Investors,nan,Moonshots Capital,BoxGroup,Blu Venture Investors,
Snapdocs,$1.50,2021-05-25,United States,San Francisco,Fintech,"Sequoia Capital, Y Combinator, F-Prime Capital",1.5,Sequoia Capital,Y Combinator,F-Prime Capital,nan,Sequoia Capital,Y Combinator,F-Prime Capital,
Chipper Cash,$2,2021-05-31,United States,San Francisco,Fintech,"Deciens Capital, Bezos Expeditions, 500 Startups",2.0,Deciens Capital,Bezos Expeditions,500 Startups,nan,Deciens Capital,Bezos Expeditions,500 Startups,
Ledger,$1.50,2021-06-10,France,Paris,Hardware,"Digital Currency Group, Draper Esprit, Korelya Capital",1.5,Digital Currency Group,Draper Esprit,Korelya Capital,nan,Digital Currency Group,Draper Esprit,Korelya Capital,
Next Silicon,$1.50,2021-06-14,Israel,Tel Aviv,Hardware,"Amiti Ventures, Playground Global, Aleph",1.5,Amiti Ventures,Playground Global,Aleph,nan,Amiti Ventures,Playground Global,Aleph,
YunQuNa,$1.50,2021-06-29,China,Shanghai,"Supply chain, logistics, & delivery","Source Code Capital, Coatue Management, DCM Ventures",1.5,Source Code Capital,Coatue Management,DCM Ventures,nan,Source Code Capital,Coatue Management,DCM Ventures,
impact.com,$1.50,2021-07-13,United States,Santa Barbara,Internet software & services,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners",1.5,Redpoint Ventures,Providence Equity Partners,Silversmith Capital Partners,nan,Redpoint Ventures,Providence Equity Partners,Silversmith Capital Partners,
SmartRecruiters,$1.50,2021-07-20,United States,San Francisco,Internet software & services,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners",1.5,Mayfield Fund,Insight Partners,Rembrandt Venture Partners,nan,Mayfield Fund,Insight Partners,Rembrandt Venture Partners,
NotCo,$1.50,2021-07-26,Chile,Santiago,Consumer & retail,"Kaszek Ventures, SOSV, Tiger Global Management",1.5,Kaszek Ventures,SOSV,Tiger Global Management,nan,Kaszek Ventures,SOSV,Tiger Global Management,
Culture Amp,$1.50,2021-07-29,Australia,Richmond,Internet software & services,"Felicis Ventures, Index Ventures, Blackbird Ventures",1.5,Felicis Ventures,Index Ventures,Blackbird Ventures,nan,Felicis Ventures,Index Ventures,Blackbird Ventures,
TaxBit,$1.50,2021-08-04,United States,Draper,Fintech,"Insight Partners, Coinbase Ventures, PayPal Ventures",1.5,Insight Partners,Coinbase Ventures,PayPal Ventures,nan,Insight Partners,Coinbase Ventures,PayPal Ventures,
Pacaso,$1.50,2021-03-24,United States,Cincinnati,Fintech,"Global Founders Capital, Shea Ventures, Greycroft",1.5,Global Founders Capital,Shea Ventures,Greycroft,nan,Global Founders Capital,Shea Ventures,Greycroft,
1047 Games,$1.50,2021-09-14,United States,Zephyr Cove,Internet software & services,"VGames, Lakestar, Galaxy Interactive",1.5,VGames,Lakestar,Galaxy Interactive,nan,VGames,Lakestar,Galaxy Interactive,
Matillion,$1.50,2021-09-15,United Kingdom,Altrincham,Data management & analytics,"Scale Venture Partners, Sapphire Ventures, Battery Ventures",1.5,Scale Venture Partners,Sapphire Ventures,Battery Ventures,nan,Scale Venture Partners,Sapphire Ventures,Battery Ventures,
Persona,$1.50,2021-09-15,United States,San Francisco,Cybersecurity,"Coatue Management, Index Ventures, Founders Fund",1.5,Coatue Management,Index Ventures,Founders Fund,nan,Coatue Management,Index Ventures,Founders Fund,
Ascend Money,$1.50,2021-09-27,Thailand,Bangkok,Fintech,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",1.5,Ant Group,Charoen Pokphand Group,Bow Wave Capital,nan,Ant Group,Charoen Pokphand Group,Bow Wave Capital,
Andela,$1.50,2021-09-29,United States,New York,Internet software & services,"Spark Capital, Google Ventures, CRE Venture Capital",1.5,Spark Capital,Google Ventures,CRE Venture Capital,nan,Spark Capital,Google Ventures,CRE Venture Capital,
Built,$1.50,2021-09-30,United States,Nashville,Internet software & services,"Nyca Partners, Index Ventures, Technology Crossover Ventures",1.5,Nyca Partners,Index Ventures,Technology Crossover Ventures,nan,Nyca Partners,Index Ventures,Technology Crossover Ventures,
candy.com,$1.50,2021-10-21,United States,New York,Internet software & services,"Insight Partners, Softbank Group, Connect Ventures",1.5,Insight Partners,Softbank Group,Connect Ventures,nan,Insight Partners,Softbank Group,Connect Ventures,
CoinList,$1.50,2021-10-15,United States,San Francisco,Fintech,"Accomplice, Polychain Capital, GoldenTree Asset Management",1.5,Accomplice,Polychain Capital,GoldenTree Asset Management,nan,Accomplice,Polychain Capital,GoldenTree Asset Management,
Lusha,$1.50,2021-11-10,United States,New York,Internet software & services,"PSG, ION Crossover Partners",1.5,PSG,ION Crossover Partners,nan,nan,PSG,ION Crossover Partners,,
CureFit,$1.50,2021-11-10,India,Bengaluru,Health,"Chiratae Ventures, Accel, Kalaari Capital",1.5,Chiratae Ventures,Accel,Kalaari Capital,nan,Chiratae Ventures,Accel,Kalaari Capital,
Solugen,$1.50,2021-09-10,United States,Houston,Other,"Fifty Years Fund, Refactor Capital, Temasek",1.5,Fifty Years Fund,Refactor Capital,Temasek,nan,Fifty Years Fund,Refactor Capital,Temasek,
Olist,$1.50,2021-12-15,Brazil,Curitiba,E-commerce & direct-to-consumer,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund",1.5,Redpoint e.ventures,Valor Capital Group,SoftBank Latin America Fund,nan,Redpoint e.ventures,Valor Capital Group,SoftBank Latin America Fund,
Paradox,$1.50,2021-12-27,United States,Scottsdale,Internet software & services,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures",1.5,Brighton Park Capital,Blue Cloud Ventures,Workday Ventures,nan,Brighton Park Capital,Blue Cloud Ventures,Workday Ventures,
Airbyte,$1.50,2021-12-17,United States,San Francisco,Internet software & services,"Accel, Benchmark, SV Angel",1.5,Accel,Benchmark,SV Angel,nan,Accel,Benchmark,SV Angel,
StoreDot,$1.50,2022-01-04,Israel,Herzliya,Other,"Samsung Ventures, SingulariTeam, BP Ventures",1.5,Samsung Ventures,SingulariTeam,BP Ventures,nan,Samsung Ventures,SingulariTeam,BP Ventures,
Il Makiage,$1.50,2022-01-10,United States,New York,E-commerce & direct-to-consumer,"L Catterton, Franklin Templeton, First Light Capital Group",1.5,L Catterton,Franklin Templeton,First Light Capital Group,nan,L Catterton,Franklin Templeton,First Light Capital Group,
Spendesk,$1.50,2022-01-18,France,Paris,Fintech,"Index Ventures, Eight Roads Ventures, General Atlantic",1.5,Index Ventures,Eight Roads Ventures,General Atlantic,nan,Index Ventures,Eight Roads Ventures,General Atlantic,
Veriff,$1.50,2022-01-26,Estonia,Tallinn,Artificial intelligence,"Accel, Institutional Venture Partners, Tiger Global Management",1.5,Accel,Institutional Venture Partners,Tiger Global Management,nan,Accel,Institutional Venture Partners,Tiger Global Management,
